#,Job_ID,WeatherFile,ModelFile,@@P1_Wall_R@@,@@P2_Roof_R@@,@@P3_Roof_Abs@@,@@P4_U@@,@@P4_SHGC@@,@@P4_VT@@,@@P5_COP@@,@@P6_ClgSetp@@,@@P7_LPD@@,Message,Warnings,Errors,Hours,Minutes,Seconds,Scenario,Total_Site_Energy_GJ,EUI_MJ_m2,Electricity_EndUse_GJ,NaturalGas_EndUse_GJ,P8_PV_kW,P9_BESS_kWh,Net_EUI_kWh_m2,LCE_tCO2_m2,LCC_USD_m2
35,LHS-000035,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,4.943887387,0.3,2.86184304,0.219,0.2409,3.9,25.5,6.0,EnergyPlus Completed Successfully,8068074,13,0,1,55.29,1_Baseline,1942.42,389.87,143056.35,9343.08,30,60,99.2647051608011,4.303429262946608,1435.9396066173535
36,LHS-000036,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.37,1.6,0.19,0.27,3.399288815,26.0,6.66362,EnergyPlus Completed Successfully,8673962,14,0,1,57.22,1_Baseline,2073.9,416.26,148169.55,9344.69,0,30,115.62777777777777,5.0012550000000005,1672.6439217977631
37,LHS-000037,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,6.818887387,0.37,2.86184304,0.219,0.2409,3.65,25.0,4.0,EnergyPlus Completed Successfully,7587349,14,0,1,52.73,1_Baseline,1961.27,393.66,149982.27,9342.97,0,90,109.35000000000001,4.73704,1581.8310821479547
38,LHS-000038,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.45,1.5,0.15,0.2,3.65,24.5,5.3,EnergyPlus Completed Successfully,6671752,13,0,1,41.71,1_Baseline,1952.13,391.82,148677.0,9346.06,60,90,90.77385476604665,3.944885525893215,1313.1129850509083
39,LHS-000039,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.37,2.86184304,0.219,0.2409,4.15,25.5,6.0,EnergyPlus Completed Successfully,8058116,12,0,1,58.6,1_Baseline,1907.91,382.95,140567.44,9342.4,150,60,61.21241469289442,2.675321314733039,885.4842265619616
40,LHS-000040,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.943887387,0.37,2.86184304,0.219,0.2409,3.9,25.5,6.66362,EnergyPlus Completed Successfully,7971597,14,0,1,54.55,1_Baseline,1964.78,394.36,143828.07,9343.35,30,60,100.51192738302333,4.349370262946608,1453.9816265300815
41,LHS-000041,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,4.943887387,0.45,1.5,0.15,0.2,3.65,25.0,6.66362,EnergyPlus Completed Successfully,7337875,0,0,1,45.68,1_Baseline,1990.99,399.62,148455.13,9345.18,60,30,92.94052143271333,4.028414525893215,1344.4554695318163
42,LHS-000042,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.943887387,0.23,1.5,0.15,0.2,4.4,25.5,6.0,EnergyPlus Completed Successfully,7878121,0,0,1,43.41,1_Baseline,1821.79,365.66,131046.46,9343.61,150,60,56.40963691511664,2.471289314733039,816.0083859626168
43,LHS-000043,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,6.818887387,0.37,1.5,0.13,0.17,4.4,24.0,4.0,EnergyPlus Completed Successfully,7068234,17,0,1,40.79,1_Baseline,1738.2,348.88,126506.36,9348.65,150,150,51.74852580400553,2.2745483147330385,748.5818616562541
44,LHS-000044,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,6.193887387,0.45,1.5,0.13,0.17,3.9,25.5,6.0,EnergyPlus Completed Successfully,7756923,16,0,1,53.31,1_Baseline,1878.12,376.97,135128.04,9343.66,150,0,59.55130358178331,2.606466314733039,861.4549884599326
