fold_scenario,delta_t,model,eval_set,n,r2,rmse,mae,mape
7,1.875,XGBoost,external,150,0.9735253219330318,0.8821148678659331,0.623092987060547,0.5327443700650705
7,1.875,XGBoost,combined,400,0.9867894887531191,0.6476596676929046,0.4676591302490236,0.4009827095367736
7,1.875,ANN (MLP),main,250,0.9021832052405643,1.8012379496019069,1.4262072280273441,1.2226657539828163
7,1.875,ANN (MLP),external,150,0.8458178906414204,2.1287604340998842,1.6801705240885416,1.447294332794167
7,1.875,ANN (MLP),combined,400,0.8826178345680251,1.930581315070599,1.521443464050293,1.3069014710370728
7,1.875,Linear Reg,main,250,0.9869666234101995,0.6574955933884059,0.5588250189816758,0.48194584531131845
7,1.875,Linear Reg,external,150,0.9872137990458084,0.6130283525077478,0.508470725072544,0.43833023927363984
7,1.875,Linear Reg,combined,400,0.9870524262892957,0.6411818735313085,0.5399421587657514,0.46558999304718895
8,1.611,PI-HGAT,main,250,0.980215005707982,0.7923780168346775,0.6440801872558588,0.5601139236888251
8,1.611,PI-HGAT,external,150,0.9773830134953692,0.7961728095801517,0.6487824035644528,0.5666929568332525
8,1.611,PI-HGAT,combined,400,0.9792341033439693,0.7938031900255992,0.6458435183715815,0.5625810611179853
8,1.611,XGBoost,main,250,0.9136669601761119,1.6552094991877326,1.626499274169922,1.417271521137502
8,1.611,XGBoost,external,150,0.891635776382522,1.7427413434783192,1.6338092488606768,1.4308588359704035
8,1.611,XGBoost,combined,400,0.9060361147689867,1.6885657598170545,1.629240514678955,1.42236676419984
8,1.611,ANN (MLP),main,250,0.9328043459173627,1.4602763327277533,1.1109587631835938,0.9715339583939333
8,1.611,ANN (MLP),external,150,0.8830552544365943,1.810424128040936,1.434212926839193,1.2568026263330072
8,1.611,ANN (MLP),combined,400,0.9155729328751652,1.6005835424073633,1.2321790745544434,1.0785097088710858
8,1.611,Linear Reg,main,250,0.9818883198706633,0.7581302459724506,0.6412339536118111,0.5612733835404479
8,1.611,Linear Reg,external,150,0.9816498540955312,0.7171495548181271,0.6041663323164458,0.5267748832875077
8,1.611,Linear Reg,combined,400,0.9818057284078596,0.7430274053844477,0.6273335956260492,0.5483364459455953
9,3.144,PI-HGAT,main,250,0.978785474477444,0.9353502624360357,0.763643601806641,0.6081017535654617
9,3.144,PI-HGAT,external,150,0.9783546338478238,0.8965825283906315,0.7445163391113284,0.5958778440653119
9,3.144,PI-HGAT,combined,400,0.9786343597503819,0.921003614124411,0.7564708782958988,0.6035177875029054
9,3.144,XGBoost,main,250,0.6912722991440375,3.56816895506002,3.5293192062988283,2.8318889690469926
9,3.144,XGBoost,external,150,0.6319146072385677,3.697277899070762,3.543236134033204,2.8318771589286804
9,3.144,XGBoost,combined,400,0.6704508072925899,3.617124894998476,3.534538054199219,2.8318845402526254
9,3.144,ANN (MLP),main,250,0.9632893421817262,1.2304208854110537,0.975775541503906,0.784725054254908
9,3.144,ANN (MLP),external,150,0.9482936879731637,1.3857330800893919,1.1282565970865892,0.9061980004452245
9,3.144,ANN (MLP),combined,400,0.9580291325823302,1.290854672496129,1.0329559373474122,0.8302774090762768
9,3.144,Linear Reg,main,250,0.9743975215544391,1.0275397125436891,0.8083501781845659,0.6441985597052976
9,3.144,Linear Reg,external,150,0.9684835689579778,1.081873091244352,0.8490885308873503,0.6771420829213688
9,3.144,Linear Reg,combined,400,0.9723230209670325,1.04824481044194,0.8236270604481101,0.6565523809113244
